本資料編號,段號,使用分區,使用地類別,魚塭號,縣市,鄉鎮區,漁編,段名,地號,環社分區,魚塭面積
19657,NG104209150000,一般農業區,農牧用地,583,彰化縣,大城鄉,彰化縣大城鄉583,永光段,915,先行區,289.922
19659,NG104209160000,一般農業區,農牧用地,583,彰化縣,大城鄉,彰化縣大城鄉583,永光段,916,先行區,948.859
19660,NG104209160000,一般農業區,農牧用地,584,彰化縣,大城鄉,彰化縣大城鄉584,永光段,916,先行區,257.542
19663,NG104209170000,一般農業區,農牧用地,583,彰化縣,大城鄉,彰化縣大城鄉583,永光段,917,先行區,1679.505
19664,NG104209170000,一般農業區,農牧用地,584,彰化縣,大城鄉,彰化縣大城鄉584,永光段,917,先行區,817.71
19667,NG104209180000,一般農業區,農牧用地,583,彰化縣,大城鄉,彰化縣大城鄉583,永光段,918,先行區,115.562
19668,NG104209180000,一般農業區,農牧用地,584,彰化縣,大城鄉,彰化縣大城鄉584,永光段,918,先行區,92.584
19670,NG104200920000,一般農業區,農牧用地,554,彰化縣,大城鄉,彰化縣大城鄉554,永光段,92,先行區,590.912
19674,NG107009240000,一般農業區,農牧用地,649,彰化縣,大城鄉,彰化縣大城鄉649,三林段,924,先行區,61.973
19675,NG107009240000,一般農業區,農牧用地,650,彰化縣,大城鄉,彰化縣大城鄉650,三林段,924,先行區,293.096
19676,NG107009240000,一般農業區,農牧用地,650,彰化縣,大城鄉,彰化縣大城鄉650,三林段,924,先行區,7.666
19677,NG107009250000,一般農業區,農牧用地,649,彰化縣,大城鄉,彰化縣大城鄉649,三林段,925,先行區,770.866
19678,NG107009250000,一般農業區,農牧用地,650,彰化縣,大城鄉,彰化縣大城鄉650,三林段,925,先行區,1522.023
19686,NG107009290000,一般農業區,農牧用地,676,彰化縣,大城鄉,彰化縣大城鄉676,三林段,929,先行區,2356.254
19687,NG107009290000,一般農業區,農牧用地,677,彰化縣,大城鄉,彰化縣大城鄉677,三林段,929,先行區,443.533
19689,NG104200930000,一般農業區,農牧用地,554,彰化縣,大城鄉,彰化縣大城鄉554,永光段,93,先行區,245.24
19693,NG107009300000,一般農業區,農牧用地,676,彰化縣,大城鄉,彰化縣大城鄉676,三林段,930,先行區,1354.499
19694,NG107009300000,一般農業區,農牧用地,677,彰化縣,大城鄉,彰化縣大城鄉677,三林段,930,先行區,452.691
19705,NG104309450000,一般農業區,農牧用地,462,彰化縣,大城鄉,彰化縣大城鄉462,臺山段,945,先行區,1016.391
19708,NG104309460000,一般農業區,農牧用地,462,彰化縣,大城鄉,彰化縣大城鄉462,臺山段,946,先行區,121.781
19711,NG104209480000,一般農業區,農牧用地,584-1,彰化縣,大城鄉,彰化縣大城鄉584-1,永光段,948,先行區,582.729
19713,NG104209490000,一般農業區,農牧用地,584-1,彰化縣,大城鄉,彰化縣大城鄉584-1,永光段,949,先行區,702.483
19721,NG107009550000,一般農業區,農牧用地,674,彰化縣,大城鄉,彰化縣大城鄉674,三林段,955,先行區,1390.941
19725,NG107009560000,一般農業區,農牧用地,674,彰化縣,大城鄉,彰化縣大城鄉674,三林段,956,先行區,107.187
19729,NG107009580000,一般農業區,農牧用地,648,彰化縣,大城鄉,彰化縣大城鄉648,三林段,958,先行區,2502.972
19731,NG107009590000,一般農業區,農牧用地,648,彰化縣,大城鄉,彰化縣大城鄉648,三林段,959,先行區,34.773
19734,NG104209620000,一般農業區,農牧用地,812,彰化縣,大城鄉,彰化縣大城鄉812,永光段,962,先行區,186.681
19737,NG104209630000,一般農業區,農牧用地,812,彰化縣,大城鄉,彰化縣大城鄉812,永光段,963,先行區,629.53
19739,NG104209640000,一般農業區,農牧用地,812,彰化縣,大城鄉,彰化縣大城鄉812,永光段,964,先行區,475.027
19744,NG107009640000,一般農業區,農牧用地,961,彰化縣,大城鄉,彰化縣大城鄉961,三林段,964,先行區,137.354
19745,NG104209650000,一般農業區,農牧用地,814,彰化縣,大城鄉,彰化縣大城鄉814,永光段,965,先行區,55.411
19748,NG104209660000,一般農業區,農牧用地,814,彰化縣,大城鄉,彰化縣大城鄉814,永光段,966,先行區,569.695
19751,NG107009660000,一般農業區,農牧用地,961,彰化縣,大城鄉,彰化縣大城鄉961,三林段,966,先行區,935.57
19753,NG104209670000,一般農業區,農牧用地,814,彰化縣,大城鄉,彰化縣大城鄉814,永光段,967,先行區,571.193
19755,NG105709680000,一般農業區,農牧用地,409,彰化縣,大城鄉,彰化縣大城鄉409,美豐段,968,先行區,549.176
19756,NG105709690000,一般農業區,農牧用地,409,彰化縣,大城鄉,彰化縣大城鄉409,美豐段,969,先行區,480.568
19811,NG105720230000,一般農業區,農牧用地,913,彰化縣,大城鄉,彰化縣大城鄉913,美豐段,2023,先行區,370.437
19813,NG105720240000,一般農業區,農牧用地,913,彰化縣,大城鄉,彰化縣大城鄉913,美豐段,2024,先行區,265.054
19833,NG105721040000,一般農業區,農牧用地,909,彰化縣,大城鄉,彰化縣大城鄉909,美豐段,2104,先行區,1690.218
19835,NG105721050000,一般農業區,農牧用地,911,彰化縣,大城鄉,彰化縣大城鄉911,美豐段,2105,先行區,1136.487
19836,NG105721050000,一般農業區,農牧用地,909,彰化縣,大城鄉,彰化縣大城鄉909,美豐段,2105,先行區,235.575
19837,NG105721050000,一般農業區,農牧用地,914,彰化縣,大城鄉,彰化縣大城鄉914,美豐段,2105,先行區,41.342
19839,NG105721060000,一般農業區,農牧用地,914,彰化縣,大城鄉,彰化縣大城鄉914,美豐段,2106,先行區,57.172
19840,NG105721060000,一般農業區,農牧用地,911,彰化縣,大城鄉,彰化縣大城鄉911,美豐段,2106,先行區,530.424
19842,NG105721070000,一般農業區,農牧用地,914,彰化縣,大城鄉,彰化縣大城鄉914,美豐段,2107,先行區,67.044
19843,NG105721070000,一般農業區,農牧用地,911,彰化縣,大城鄉,彰化縣大城鄉911,美豐段,2107,先行區,1537.627
19844,NG105721070000,一般農業區,農牧用地,909,彰化縣,大城鄉,彰化縣大城鄉909,美豐段,2107,先行區,1.923
19848,NG107010800000,一般農業區,農牧用地,957,彰化縣,大城鄉,彰化縣大城鄉957,三林段,1080,先行區,1198.798
19871,NG104310190000,一般農業區,農牧用地,456,彰化縣,大城鄉,彰化縣大城鄉456,臺山段,1019,先行區,167.881
19873,NG104201020000,一般農業區,農牧用地,552,彰化縣,大城鄉,彰化縣大城鄉552,永光段,102,先行區,712.567
19874,NG104310200000,一般農業區,農牧用地,456,彰化縣,大城鄉,彰化縣大城鄉456,臺山段,1020,先行區,761.208
19878,NG104201030000,一般農業區,農牧用地,552,彰化縣,大城鄉,彰化縣大城鄉552,永光段,103,先行區,1206.514
19879,NG104201040000,一般農業區,農牧用地,552,彰化縣,大城鄉,彰化縣大城鄉552,永光段,104,先行區,22.024
19880,NG104101050000,一般農業區,農牧用地,778,彰化縣,大城鄉,彰化縣大城鄉778,新光段,105,先行區,252.848
19882,NG104210500000,一般農業區,農牧用地,587-1,彰化縣,大城鄉,彰化縣大城鄉587-1,永光段,1050,先行區,1063.348
19883,NG104210510000,一般農業區,農牧用地,587-1,彰化縣,大城鄉,彰化縣大城鄉587-1,永光段,1051,先行區,2414.382
19884,NG104210520000,一般農業區,農牧用地,587-1,彰化縣,大城鄉,彰化縣大城鄉587-1,永光段,1052,先行區,2666.249
19885,NG104210530000,一般農業區,農牧用地,587-1,彰化縣,大城鄉,彰化縣大城鄉587-1,永光段,1053,先行區,418.199
19887,NG104101060000,一般農業區,農牧用地,778,彰化縣,大城鄉,彰化縣大城鄉778,新光段,106,先行區,328.65
19889,NG104210610000,一般農業區,農牧用地,592,彰化縣,大城鄉,彰化縣大城鄉592,永光段,1061,先行區,2061.658
19890,NG104210620000,一般農業區,農牧用地,592,彰化縣,大城鄉,彰化縣大城鄉592,永光段,1062,先行區,1402.165
19891,NG104101070000,一般農業區,農牧用地,778,彰化縣,大城鄉,彰化縣大城鄉778,新光段,107,先行區,333.298
19894,NG107010770000,一般農業區,農牧用地,951,彰化縣,大城鄉,彰化縣大城鄉951,三林段,1077,先行區,749.772
19896,NG107010780000,一般農業區,農牧用地,951,彰化縣,大城鄉,彰化縣大城鄉951,三林段,1078,先行區,1134.164
19898,NG107010790000,一般農業區,農牧用地,951,彰化縣,大城鄉,彰化縣大城鄉951,三林段,1079,先行區,251.402
19899,NG104101080000,一般農業區,農牧用地,778,彰化縣,大城鄉,彰化縣大城鄉778,新光段,108,先行區,337.175
19905,NG107010820000,一般農業區,農牧用地,957,彰化縣,大城鄉,彰化縣大城鄉957,三林段,1082,先行區,18.274
19910,NG107010880000,一般農業區,農牧用地,954,彰化縣,大城鄉,彰化縣大城鄉954,三林段,1088,先行區,34.906
19913,NG107010890000,一般農業區,農牧用地,954,彰化縣,大城鄉,彰化縣大城鄉954,三林段,1089,先行區,803.19
19914,NG104101090000,一般農業區,農牧用地,778,彰化縣,大城鄉,彰化縣大城鄉778,新光段,109,先行區,204.048
19916,NG107010900000,一般農業區,農牧用地,954,彰化縣,大城鄉,彰化縣大城鄉954,三林段,1090,先行區,941.324
19923,NG104310930000,一般農業區,農牧用地,467,彰化縣,大城鄉,彰化縣大城鄉467,臺山段,1093,先行區,87.128
19926,NG104310940000,一般農業區,農牧用地,467,彰化縣,大城鄉,彰化縣大城鄉467,臺山段,1094,先行區,738.843
19929,NG104310950000,一般農業區,農牧用地,467,彰化縣,大城鄉,彰化縣大城鄉467,臺山段,1095,先行區,170.327
19930,NG104310950000,一般農業區,農牧用地,464,彰化縣,大城鄉,彰化縣大城鄉464,臺山段,1095,先行區,254.254
19932,NG104310960000,一般農業區,農牧用地,464,彰化縣,大城鄉,彰化縣大城鄉464,臺山段,1096,先行區,1321.617
19933,NG104310970000,一般農業區,農牧用地,464,彰化縣,大城鄉,彰化縣大城鄉464,臺山段,1097,先行區,890.346
19935,NG104310980000,一般農業區,農牧用地,464,彰化縣,大城鄉,彰化縣大城鄉464,臺山段,1098,先行區,743.96
19953,NG107011050000,一般農業區,農牧用地,956,彰化縣,大城鄉,彰化縣大城鄉956,三林段,1105,先行區,33.68
19954,NG107011060000,一般農業區,農牧用地,956,彰化縣,大城鄉,彰化縣大城鄉956,三林段,1106,先行區,588.022
19966,NG107011140000,一般農業區,農牧用地,960,彰化縣,大城鄉,彰化縣大城鄉960,三林段,1114,先行區,1683.269
19981,NG107011410000,一般農業區,農牧用地,959,彰化縣,大城鄉,彰化縣大城鄉959,三林段,1141,先行區,634.703
19990,NG107011580000,一般農業區,農牧用地,728,彰化縣,大城鄉,彰化縣大城鄉728,三林段,1158,先行區,1882.983
20003,NG107011700000,一般農業區,農牧用地,966,彰化縣,大城鄉,彰化縣大城鄉966,三林段,1170,先行區,39.199
20004,NG107011710000,一般農業區,農牧用地,966,彰化縣,大城鄉,彰化縣大城鄉966,三林段,1171,先行區,2534.085
20005,NG107011710000,一般農業區,農牧用地,717,彰化縣,大城鄉,彰化縣大城鄉717,三林段,1171,先行區,778.267
20006,NG107011720000,一般農業區,農牧用地,966,彰化縣,大城鄉,彰化縣大城鄉966,三林段,1172,先行區,1461.625
20007,NG107011720000,一般農業區,農牧用地,717,彰化縣,大城鄉,彰化縣大城鄉717,三林段,1172,先行區,604.035
20015,NG107011880000,一般農業區,農牧用地,973,彰化縣,大城鄉,彰化縣大城鄉973,三林段,1188,先行區,1104.944
20020,NG107012090000,一般農業區,農牧用地,965,彰化縣,大城鄉,彰化縣大城鄉965,三林段,1209,先行區,1481.649
20021,NG107012100000,一般農業區,農牧用地,965,彰化縣,大城鄉,彰化縣大城鄉965,三林段,1210,先行區,46.032
20023,NG104212440000,一般農業區,農牧用地,592,彰化縣,大城鄉,彰化縣大城鄉592,永光段,1244,先行區,18.992
20024,NG104101270000,一般農業區,農牧用地,775,彰化縣,大城鄉,彰化縣大城鄉775,新光段,127,先行區,25.71
20026,NG104101280000,一般農業區,農牧用地,775,彰化縣,大城鄉,彰化縣大城鄉775,新光段,128,先行區,465.944
20028,NG107001280000,一般農業區,農牧用地,520,彰化縣,大城鄉,彰化縣大城鄉520,三林段,128,先行區,371.933
20029,NG107001280000,一般農業區,農牧用地,518,彰化縣,大城鄉,彰化縣大城鄉518,三林段,128,先行區,2478.485
20030,NG104101290000,一般農業區,農牧用地,775,彰化縣,大城鄉,彰化縣大城鄉775,新光段,129,先行區,1082.215
20032,NG107001290000,一般農業區,農牧用地,520,彰化縣,大城鄉,彰化縣大城鄉520,三林段,129,先行區,706.081
20033,NG107001290000,一般農業區,農牧用地,518,彰化縣,大城鄉,彰化縣大城鄉518,三林段,129,先行區,1789.934
20034,NG104101300000,一般農業區,農牧用地,775,彰化縣,大城鄉,彰化縣大城鄉775,新光段,130,先行區,138.309
20038,NG107001300000,一般農業區,農牧用地,518,彰化縣,大城鄉,彰化縣大城鄉518,三林段,130,先行區,10.505
20043,NG104201330000,一般農業區,農牧用地,436,彰化縣,大城鄉,彰化縣大城鄉436,永光段,133,先行區,981.217
20045,NG107001330003,一般農業區,農牧用地,522,彰化縣,大城鄉,彰化縣大城鄉522,三林段,133-3,先行區,220.579
20047,NG107001340000,一般農業區,農牧用地,522,彰化縣,大城鄉,彰化縣大城鄉522,三林段,134,先行區,365.563
20049,NG107001340001,一般農業區,農牧用地,522,彰化縣,大城鄉,彰化縣大城鄉522,三林段,134-1,先行區,109.385
20053,NG104201370000,一般農業區,農牧用地,437-1,彰化縣,大城鄉,彰化縣大城鄉437-1,永光段,137,先行區,1637.996
20054,NG104201380000,一般農業區,農牧用地,437-1,彰化縣,大城鄉,彰化縣大城鄉437-1,永光段,138,先行區,1052.908
20062,NG104201430000,一般農業區,農牧用地,427,彰化縣,大城鄉,彰化縣大城鄉427,永光段,143,先行區,55.179
20063,NG104201440000,一般農業區,農牧用地,427,彰化縣,大城鄉,彰化縣大城鄉427,永光段,144,先行區,918.103
20066,NG104201500000,一般農業區,農牧用地,546,彰化縣,大城鄉,彰化縣大城鄉546,永光段,150,先行區,206.999
20067,NG104101510000,一般農業區,農牧用地,992-1,彰化縣,大城鄉,彰化縣大城鄉992-1,新光段,151,先行區,109.849
20068,NG104201510000,一般農業區,農牧用地,546,彰化縣,大城鄉,彰化縣大城鄉546,永光段,151,先行區,1338.752
