本資料編號,段號,使用分區,使用地類別,魚塭號,縣市,鄉鎮區,漁編,段名,地號,環社分區,魚塭面積
9806,EF311011950000,一般農業區,農牧用地,357,高雄市,永安區,高雄市永安區357,復興段,1195,先行區,573.319
10470,EJ284613250000,一般農業區,農牧用地,54-1,高雄市,路竹區,高雄市路竹區54-1,福善段,1325,先行區,1881.569
10778,EJ284614980000,一般農業區,農牧用地,61-2,高雄市,路竹區,高雄市路竹區61-2,福善段,1498,先行區,1105.977
10990,EJ284613570000,一般農業區,農牧用地,54-1,高雄市,路竹區,高雄市路竹區54-1,福善段,1357,先行區,6.653
11238,EJ281100520001,一般農業區,農牧用地,276-1,高雄市,路竹區,高雄市路竹區276-1,三爺埤段,52-1,先行區,613.676
11239,EJ281100520001,一般農業區,農牧用地,276,高雄市,路竹區,高雄市路竹區276,三爺埤段,52-1,先行區,1291.129
11255,EJ281100520029,一般農業區,農牧用地,276-1,高雄市,路竹區,高雄市路竹區276-1,三爺埤段,52-29,先行區,2938.358
11256,EJ281100520029,一般農業區,農牧用地,276,高雄市,路竹區,高雄市路竹區276,三爺埤段,52-29,先行區,5745.332
11257,EJ281100520029,一般農業區,農牧用地,277,高雄市,路竹區,高雄市路竹區277,三爺埤段,52-29,先行區,7043.543
11258,EJ281100520030,一般農業區,農牧用地,277,高雄市,路竹區,高雄市路竹區277,三爺埤段,52-30,先行區,134.424
11317,EJ281100630000,一般農業區,農牧用地,276-1,高雄市,路竹區,高雄市路竹區276-1,三爺埤段,63,先行區,1837.757
11318,EJ281100630001,一般農業區,農牧用地,276-1,高雄市,路竹區,高雄市路竹區276-1,三爺埤段,63-1,先行區,60.545
11359,EJ281100690000,一般農業區,農牧用地,276,高雄市,路竹區,高雄市路竹區276,三爺埤段,69,先行區,1.92
11360,EJ281100690001,一般農業區,農牧用地,276,高雄市,路竹區,高雄市路竹區276,三爺埤段,69-1,先行區,372.959
11361,EJ281100700000,一般農業區,農牧用地,276,高雄市,路竹區,高雄市路竹區276,三爺埤段,70,先行區,1790.906
46604,EJ282201030000,一般農業區,農牧用地,153,高雄市,路竹區,高雄市路竹區153,新興段,103,先行區,15.384
46605,EJ282201040000,一般農業區,農牧用地,153,高雄市,路竹區,高雄市路竹區153,新興段,104,先行區,508.341
46607,EJ282201060000,一般農業區,農牧用地,153,高雄市,路竹區,高雄市路竹區153,新興段,106,先行區,542.666
46609,EJ282201070000,一般農業區,農牧用地,153,高雄市,路竹區,高雄市路竹區153,新興段,107,先行區,89.801
93824,EJ270423320000,特定農業區,農牧用地,50-1,高雄市,阿蓮區,高雄市阿蓮區50-1,崙子頂段,2332,優先區,51.215
93825,EJ270423320000,特定農業區,農牧用地,50-1,高雄市,阿蓮區,高雄市阿蓮區50-1,崙子頂段,2332,優先區,27.358
93826,EJ270423330000,特定農業區,農牧用地,50-1,高雄市,阿蓮區,高雄市阿蓮區50-1,崙子頂段,2333,優先區,298.562
93827,EJ270423330001,特定農業區,農牧用地,50-1,高雄市,阿蓮區,高雄市阿蓮區50-1,崙子頂段,2333-1,優先區,1043.156
93828,EJ270423350000,特定農業區,農牧用地,50-1,高雄市,阿蓮區,高雄市阿蓮區50-1,崙子頂段,2335,優先區,1289.995
93829,EJ270423360000,特定農業區,農牧用地,50-1,高雄市,阿蓮區,高雄市阿蓮區50-1,崙子頂段,2336,優先區,994.665
94177,EJ271128460000,特定農業區,農牧用地,40-2,高雄市,阿蓮區,高雄市阿蓮區40-2,阿蓮段,2846,優先區,1273.49
94178,EJ271128470000,特定農業區,農牧用地,40-2,高雄市,阿蓮區,高雄市阿蓮區40-2,阿蓮段,2847,優先區,81.394
94851,EJ282201050000,一般農業區,農牧用地,153,高雄市,路竹區,高雄市路竹區153,新興段,105,優先區,5.752
94935,EJ283211600000,一般農業區,農牧用地,758,高雄市,路竹區,高雄市路竹區758,華山段,1160,優先區,5.514
94936,EJ283211610000,一般農業區,農牧用地,772,高雄市,路竹區,高雄市路竹區772,華山段,1161,優先區,0.06
94937,EJ283211620000,一般農業區,農牧用地,758,高雄市,路竹區,高雄市路竹區758,華山段,1162,優先區,1541.348
94938,EJ283211620000,一般農業區,農牧用地,753,高雄市,路竹區,高雄市路竹區753,華山段,1162,優先區,1357.021
94939,EJ283211630000,一般農業區,農牧用地,758,高雄市,路竹區,高雄市路竹區758,華山段,1163,優先區,30.379
94940,EJ283211630000,一般農業區,農牧用地,753,高雄市,路竹區,高雄市路竹區753,華山段,1163,優先區,3.792
94941,EJ283211630000,一般農業區,農牧用地,770,高雄市,路竹區,高雄市路竹區770,華山段,1163,優先區,1104.755
