本資料編號,段號,使用分區,使用地類別,魚塭號,縣市,鄉鎮區,漁編,段名,地號,環社分區,魚塭面積
125614,PE079211410000,一般農業區,農牧用地,229,雲林縣,四湖鄉,雲林縣四湖鄉229,新蔡厝段,1141,優先區,647.301
125620,PE079206280000,一般農業區,農牧用地,330,雲林縣,四湖鄉,雲林縣四湖鄉330,新蔡厝段,628,優先區,420.072
125621,PE079206280000,一般農業區,農牧用地,341,雲林縣,四湖鄉,雲林縣四湖鄉341,新蔡厝段,628,優先區,996.917
125622,PE079206280000,一般農業區,農牧用地,342,雲林縣,四湖鄉,雲林縣四湖鄉342,新蔡厝段,628,優先區,1069.872
125623,PE079206290000,一般農業區,農牧用地,330,雲林縣,四湖鄉,雲林縣四湖鄉330,新蔡厝段,629,優先區,420.536
125624,PE079206290000,一般農業區,農牧用地,341,雲林縣,四湖鄉,雲林縣四湖鄉341,新蔡厝段,629,優先區,781.038
125625,PE079206290000,一般農業區,農牧用地,342,雲林縣,四湖鄉,雲林縣四湖鄉342,新蔡厝段,629,優先區,831.483
125626,PE079206290001,一般農業區,農牧用地,330,雲林縣,四湖鄉,雲林縣四湖鄉330,新蔡厝段,629-1,優先區,271.686
125627,PE079206290001,一般農業區,農牧用地,341,雲林縣,四湖鄉,雲林縣四湖鄉341,新蔡厝段,629-1,優先區,448.184
125629,PE079206290001,一般農業區,農牧用地,342,雲林縣,四湖鄉,雲林縣四湖鄉342,新蔡厝段,629-1,優先區,494.164
125651,PE079100100000,一般農業區,農牧用地,153,雲林縣,四湖鄉,雲林縣四湖鄉153,新下寮段,10,優先區,2063.732
125652,PE079100100000,一般農業區,農牧用地,125,雲林縣,四湖鄉,雲林縣四湖鄉125,新下寮段,10,優先區,918.43
125653,PE079100110000,一般農業區,農牧用地,153,雲林縣,四湖鄉,雲林縣四湖鄉153,新下寮段,11,優先區,859.809
125658,PE079107960000,一般農業區,農牧用地,202,雲林縣,四湖鄉,雲林縣四湖鄉202,新下寮段,796,優先區,2391.25
125659,PE079108010000,一般農業區,農牧用地,202,雲林縣,四湖鄉,雲林縣四湖鄉202,新下寮段,801,優先區,116.447
125660,PE079108020000,一般農業區,農牧用地,202,雲林縣,四湖鄉,雲林縣四湖鄉202,新下寮段,802,優先區,75.7
125674,PE079109160000,一般農業區,農牧用地,184,雲林縣,四湖鄉,雲林縣四湖鄉184,新下寮段,916,優先區,1194.348
125679,PE076501240000,一般農業區,農牧用地,127,雲林縣,四湖鄉,雲林縣四湖鄉127,西鹿段,124,優先區,1487.422
125680,PE076501240001,一般農業區,農牧用地,127,雲林縣,四湖鄉,雲林縣四湖鄉127,西鹿段,124-1,優先區,1871.931
125681,PE076305750000,一般農業區,農牧用地,58-1,雲林縣,四湖鄉,雲林縣四湖鄉58-1,頂鹿段,575,優先區,332.757
125682,PE076305750000,一般農業區,農牧用地,58,雲林縣,四湖鄉,雲林縣四湖鄉58,頂鹿段,575,優先區,690.936
125683,PE076305750000,一般農業區,農牧用地,58-2,雲林縣,四湖鄉,雲林縣四湖鄉58-2,頂鹿段,575,優先區,302.394
125685,PE074204180001,一般農業區,農牧用地,597-1,雲林縣,四湖鄉,雲林縣四湖鄉597-1,西頂段,418-1,優先區,2837.102
