本資料編號,段號,使用分區,使用地類別,魚塭號,縣市,鄉鎮區,漁編,段名,地號,環社分區,魚塭面積
9325,TF086208110000,一般農業區,農牧用地,1568,屏東縣,枋寮鄉,屏東縣枋寮鄉1568,新地段,811,先行區,7.764
9333,TF086208130000,一般農業區,農牧用地,1568,屏東縣,枋寮鄉,屏東縣枋寮鄉1568,新地段,813,先行區,128.353
9338,TF086208230001,一般農業區,農牧用地,1568,屏東縣,枋寮鄉,屏東縣枋寮鄉1568,新地段,823-1,先行區,0.116
9448,TF085705250000,一般農業區,農牧用地,2361,屏東縣,枋寮鄉,屏東縣枋寮鄉2361,海鷗段,525,先行區,499.325
9449,TF085705250000,一般農業區,農牧用地,2362,屏東縣,枋寮鄉,屏東縣枋寮鄉2362,海鷗段,525,先行區,440.006
9450,TF085705250000,一般農業區,農牧用地,2373,屏東縣,枋寮鄉,屏東縣枋寮鄉2373,海鷗段,525,先行區,400.775
9455,TF085705260000,一般農業區,農牧用地,2361,屏東縣,枋寮鄉,屏東縣枋寮鄉2361,海鷗段,526,先行區,997.155
9456,TF085705260000,一般農業區,農牧用地,2362,屏東縣,枋寮鄉,屏東縣枋寮鄉2362,海鷗段,526,先行區,953.357
9457,TF085705260000,一般農業區,農牧用地,2373,屏東縣,枋寮鄉,屏東縣枋寮鄉2373,海鷗段,526,先行區,926.3
9462,TF085705270000,一般農業區,農牧用地,2361,屏東縣,枋寮鄉,屏東縣枋寮鄉2361,海鷗段,527,先行區,1027.427
9463,TF085705270000,一般農業區,農牧用地,2362,屏東縣,枋寮鄉,屏東縣枋寮鄉2362,海鷗段,527,先行區,1066.807
9464,TF085705270000,一般農業區,農牧用地,2373,屏東縣,枋寮鄉,屏東縣枋寮鄉2373,海鷗段,527,先行區,1179.493
9466,TF085705270000,一般農業區,農牧用地,2374,屏東縣,枋寮鄉,屏東縣枋寮鄉2374,海鷗段,527,先行區,4.921
9529,TF085705350000,一般農業區,農牧用地,2399,屏東縣,枋寮鄉,屏東縣枋寮鄉2399,海鷗段,535,先行區,208.419
9530,TF085705350000,一般農業區,農牧用地,2399-2,屏東縣,枋寮鄉,屏東縣枋寮鄉2399-2,海鷗段,535,先行區,179.161
9531,TF085705350000,一般農業區,農牧用地,2399-1,屏東縣,枋寮鄉,屏東縣枋寮鄉2399-1,海鷗段,535,先行區,178.047
9549,TF082002340000,一般農業區,農牧用地,1306,屏東縣,枋寮鄉,屏東縣枋寮鄉1306,北玄段,234,先行區,1455.517
43994,TF053616570000,一般農業區,農牧用地,830,屏東縣,佳冬鄉,屏東縣佳冬鄉830,塭豐段,1657,先行區,573.832
44001,TF053616580000,一般農業區,農牧用地,830,屏東縣,佳冬鄉,屏東縣佳冬鄉830,塭豐段,1658,先行區,25.536
44456,TF053615640000,一般農業區,農牧用地,1220-1,屏東縣,佳冬鄉,屏東縣佳冬鄉1220-1,塭豐段,1564,先行區,191.694
60782,TD101301790000,一般農業區,農牧用地,89,屏東縣,東港鎮,屏東縣東港鎮89,大潭新庄段,179,關注減緩區,1382.634
60783,TD101301810000,一般農業區,農牧用地,89,屏東縣,東港鎮,屏東縣東港鎮89,大潭新庄段,181,關注減緩區,1808.695
60784,TD101301810000,一般農業區,農牧用地,90,屏東縣,東港鎮,屏東縣東港鎮90,大潭新庄段,181,關注減緩區,411.433
60785,TD101301810000,一般農業區,農牧用地,54,屏東縣,東港鎮,屏東縣東港鎮54,大潭新庄段,181,關注減緩區,6.703
60786,TD101301810000,一般農業區,農牧用地,54,屏東縣,東港鎮,屏東縣東港鎮54,大潭新庄段,181,關注減緩區,5.84
60787,TD101301450000,一般農業區,農牧用地,44-1,屏東縣,東港鎮,屏東縣東港鎮44-1,大潭新庄段,145,關注減緩區,1240.494
60788,TD101301450000,一般農業區,農牧用地,44,屏東縣,東港鎮,屏東縣東港鎮44,大潭新庄段,145,關注減緩區,975.047
60789,TD101301460000,一般農業區,農牧用地,44,屏東縣,東港鎮,屏東縣東港鎮44,大潭新庄段,146,關注減緩區,1965.297
60790,TD101301470000,一般農業區,農牧用地,50,屏東縣,東港鎮,屏東縣東港鎮50,大潭新庄段,147,關注減緩區,2150.921
60791,TD101301470000,一般農業區,農牧用地,47,屏東縣,東港鎮,屏東縣東港鎮47,大潭新庄段,147,關注減緩區,2746.418
60792,TD101301470000,一般農業區,農牧用地,45,屏東縣,東港鎮,屏東縣東港鎮45,大潭新庄段,147,關注減緩區,3359.928
60793,TD101301470000,一般農業區,農牧用地,51,屏東縣,東港鎮,屏東縣東港鎮51,大潭新庄段,147,關注減緩區,2436.554
60794,TD101301470000,一般農業區,農牧用地,46,屏東縣,東港鎮,屏東縣東港鎮46,大潭新庄段,147,關注減緩區,3055.153
60795,TD101301480000,一般農業區,農牧用地,51,屏東縣,東港鎮,屏東縣東港鎮51,大潭新庄段,148,關注減緩區,9.754
60796,TD101301520000,一般農業區,農牧用地,87,屏東縣,東港鎮,屏東縣東港鎮87,大潭新庄段,152,關注減緩區,9.159
60797,TD101301520000,一般農業區,農牧用地,53,屏東縣,東港鎮,屏東縣東港鎮53,大潭新庄段,152,關注減緩區,1518.241
60798,TD101301530000,一般農業區,農牧用地,53,屏東縣,東港鎮,屏東縣東港鎮53,大潭新庄段,153,關注減緩區,1064.67
60799,TD101301540000,一般農業區,農牧用地,53,屏東縣,東港鎮,屏東縣東港鎮53,大潭新庄段,154,關注減緩區,1284.478
60800,TD101301560000,一般農業區,農牧用地,87,屏東縣,東港鎮,屏東縣東港鎮87,大潭新庄段,156,關注減緩區,1179.039
60801,TD101301580000,一般農業區,農牧用地,87,屏東縣,東港鎮,屏東縣東港鎮87,大潭新庄段,158,關注減緩區,267.553
60802,TD101301630000,一般農業區,農牧用地,45,屏東縣,東港鎮,屏東縣東港鎮45,大潭新庄段,163,關注減緩區,7.776
60806,TD101301830000,一般農業區,農牧用地,55,屏東縣,東港鎮,屏東縣東港鎮55,大潭新庄段,183,關注減緩區,1975.725
60807,TD101301830000,一般農業區,農牧用地,89,屏東縣,東港鎮,屏東縣東港鎮89,大潭新庄段,183,關注減緩區,29.747
60808,TD101301830000,一般農業區,農牧用地,54,屏東縣,東港鎮,屏東縣東港鎮54,大潭新庄段,183,關注減緩區,3626.361
60809,TD101301840000,一般農業區,農牧用地,54,屏東縣,東港鎮,屏東縣東港鎮54,大潭新庄段,184,關注減緩區,38.356
60858,TD101301760000,一般農業區,農牧用地,88,屏東縣,東港鎮,屏東縣東港鎮88,大潭新庄段,176,關注減緩區,685.164
60859,TD101301760000,一般農業區,農牧用地,92,屏東縣,東港鎮,屏東縣東港鎮92,大潭新庄段,176,關注減緩區,3.583
60860,TD101301780000,一般農業區,農牧用地,90,屏東縣,東港鎮,屏東縣東港鎮90,大潭新庄段,178,關注減緩區,2178.226
60861,TD101301780000,一般農業區,農牧用地,92,屏東縣,東港鎮,屏東縣東港鎮92,大潭新庄段,178,關注減緩區,1.531
60862,TD101301780000,一般農業區,農牧用地,89,屏東縣,東港鎮,屏東縣東港鎮89,大潭新庄段,178,關注減緩區,519.875
60863,TD101301800000,一般農業區,農牧用地,95,屏東縣,東港鎮,屏東縣東港鎮95,大潭新庄段,180,關注減緩區,432.868
60998,TD101302570000,一般農業區,農牧用地,29,屏東縣,東港鎮,屏東縣東港鎮29,大潭新庄段,257,關注減緩區,53.294
61000,TD101302580000,一般農業區,農牧用地,29,屏東縣,東港鎮,屏東縣東港鎮29,大潭新庄段,258,關注減緩區,258.703
61101,TD101409700000,一般農業區,農牧用地,621,屏東縣,東港鎮,屏東縣東港鎮621,大埔段,970,關注減緩區,4269.669
61102,TD101409700000,一般農業區,農牧用地,623,屏東縣,東港鎮,屏東縣東港鎮623,大埔段,970,關注減緩區,82.975
61177,TD101408790000,一般農業區,農牧用地,630,屏東縣,東港鎮,屏東縣東港鎮630,大埔段,879,關注減緩區,19.487
61179,TD101408800000,一般農業區,農牧用地,630,屏東縣,東港鎮,屏東縣東港鎮630,大埔段,880,關注減緩區,2826.812
61186,TD101409640000,一般農業區,農牧用地,623,屏東縣,東港鎮,屏東縣東港鎮623,大埔段,964,關注減緩區,2142.432
61187,TD101409650000,一般農業區,農牧用地,621,屏東縣,東港鎮,屏東縣東港鎮621,大埔段,965,關注減緩區,763.952
61188,TD101409650000,一般農業區,農牧用地,623,屏東縣,東港鎮,屏東縣東港鎮623,大埔段,965,關注減緩區,425.179
61200,TD101301670000,一般農業區,農牧用地,93,屏東縣,東港鎮,屏東縣東港鎮93,大潭新庄段,167,關注減緩區,1400.952
61201,TD101301690000,一般農業區,農牧用地,92,屏東縣,東港鎮,屏東縣東港鎮92,大潭新庄段,169,關注減緩區,743.2
61202,TD101301690000,一般農業區,農牧用地,93,屏東縣,東港鎮,屏東縣東港鎮93,大潭新庄段,169,關注減緩區,111.351
61203,TD101301690000,一般農業區,農牧用地,94,屏東縣,東港鎮,屏東縣東港鎮94,大潭新庄段,169,關注減緩區,7.962
61204,TD101301700000,一般農業區,農牧用地,93,屏東縣,東港鎮,屏東縣東港鎮93,大潭新庄段,170,關注減緩區,110.822
61205,TD101301710000,一般農業區,農牧用地,93,屏東縣,東港鎮,屏東縣東港鎮93,大潭新庄段,171,關注減緩區,301.425
61206,TD101301730000,一般農業區,農牧用地,94,屏東縣,東港鎮,屏東縣東港鎮94,大潭新庄段,173,關注減緩區,2010.84
61207,TD101301730000,一般農業區,農牧用地,95,屏東縣,東港鎮,屏東縣東港鎮95,大潭新庄段,173,關注減緩區,53.762
