本資料編號,段號,使用分區,使用地類別,魚塭號,縣市,鄉鎮區,漁編,段名,地號,環社分區,魚塭面積
31036,DF430100010016,一般農業區,農牧用地,390,臺南市,麻豆區,臺南市麻豆區390,北勢寮段,1-16,先行區,36.716
31045,DF430100010019,一般農業區,農牧用地,568,臺南市,麻豆區,臺南市麻豆區568,北勢寮段,1-19,先行區,2495.49
31046,DF430100010019,一般農業區,農牧用地,563,臺南市,麻豆區,臺南市麻豆區563,北勢寮段,1-19,先行區,75.521
31060,DF430100010027,一般農業區,農牧用地,395,臺南市,麻豆區,臺南市麻豆區395,北勢寮段,1-27,先行區,7.874
31061,DF430100010027,一般農業區,農牧用地,395,臺南市,麻豆區,臺南市麻豆區395,北勢寮段,1-27,先行區,139.179
31063,DF430100010027,一般農業區,農牧用地,563,臺南市,麻豆區,臺南市麻豆區563,北勢寮段,1-27,先行區,1024.157
31064,DF430100010028,一般農業區,農牧用地,395,臺南市,麻豆區,臺南市麻豆區395,北勢寮段,1-28,先行區,4346.393
31072,DF430100010030,一般農業區,農牧用地,390,臺南市,麻豆區,臺南市麻豆區390,北勢寮段,1-30,先行區,344.847
31073,DF430100010030,一般農業區,農牧用地,390-1,臺南市,麻豆區,臺南市麻豆區390-1,北勢寮段,1-30,先行區,423.073
31075,DF430100010031,一般農業區,農牧用地,390,臺南市,麻豆區,臺南市麻豆區390,北勢寮段,1-31,先行區,1170.661
31076,DF430100010031,一般農業區,農牧用地,390-1,臺南市,麻豆區,臺南市麻豆區390-1,北勢寮段,1-31,先行區,1091.088
31077,DF430100010032,一般農業區,農牧用地,390,臺南市,麻豆區,臺南市麻豆區390,北勢寮段,1-32,先行區,1329.241
31078,DF430100010032,一般農業區,農牧用地,390-1,臺南市,麻豆區,臺南市麻豆區390-1,北勢寮段,1-32,先行區,1174.472
31083,DF430100010033,一般農業區,農牧用地,390,臺南市,麻豆區,臺南市麻豆區390,北勢寮段,1-33,先行區,1268.107
31084,DF430100010033,一般農業區,農牧用地,390-1,臺南市,麻豆區,臺南市麻豆區390-1,北勢寮段,1-33,先行區,1011.877
31109,DF430100010042,一般農業區,農牧用地,390,臺南市,麻豆區,臺南市麻豆區390,北勢寮段,1-42,先行區,60.056
31126,DF430100010049,一般農業區,農牧用地,569,臺南市,麻豆區,臺南市麻豆區569,北勢寮段,1-49,先行區,717.021
31128,DF430100010051,一般農業區,農牧用地,569,臺南市,麻豆區,臺南市麻豆區569,北勢寮段,1-51,先行區,697.787
31132,DF430100010053,一般農業區,農牧用地,569,臺南市,麻豆區,臺南市麻豆區569,北勢寮段,1-53,先行區,1245.087
31138,DF430100010055,一般農業區,農牧用地,569,臺南市,麻豆區,臺南市麻豆區569,北勢寮段,1-55,先行區,3379.636
31143,DF430100010057,一般農業區,農牧用地,569,臺南市,麻豆區,臺南市麻豆區569,北勢寮段,1-57,先行區,566.122
31146,DF430100010059,一般農業區,農牧用地,564,臺南市,麻豆區,臺南市麻豆區564,北勢寮段,1-59,先行區,923.734
31147,DF430100010059,一般農業區,農牧用地,569,臺南市,麻豆區,臺南市麻豆區569,北勢寮段,1-59,先行區,168.527
31151,DF430100010061,一般農業區,農牧用地,564,臺南市,麻豆區,臺南市麻豆區564,北勢寮段,1-61,先行區,572.608
31155,DF430100010063,一般農業區,農牧用地,564,臺南市,麻豆區,臺南市麻豆區564,北勢寮段,1-63,先行區,767.358
31158,DF430100010065,一般農業區,農牧用地,564,臺南市,麻豆區,臺南市麻豆區564,北勢寮段,1-65,先行區,743.568
31159,DF430100010067,一般農業區,農牧用地,564,臺南市,麻豆區,臺南市麻豆區564,北勢寮段,1-67,先行區,821.53
31177,DF430100010090,一般農業區,農牧用地,568,臺南市,麻豆區,臺南市麻豆區568,北勢寮段,1-90,先行區,1634.962
31327,DF436201180000,一般農業區,農牧用地,1027,臺南市,麻豆區,臺南市麻豆區1027,營後段,118,先行區,2329.158
31333,DF436201190000,一般農業區,農牧用地,1027,臺南市,麻豆區,臺南市麻豆區1027,營後段,119,先行區,175.016
31358,DF436201220000,一般農業區,農牧用地,1026,臺南市,麻豆區,臺南市麻豆區1026,營後段,122,先行區,1152.399
31359,DF436201220000,一般農業區,農牧用地,1009,臺南市,麻豆區,臺南市麻豆區1009,營後段,122,先行區,1454.668
31361,DF436201220001,一般農業區,農牧用地,1026,臺南市,麻豆區,臺南市麻豆區1026,營後段,122-1,先行區,1844.017
31362,DF436201220001,一般農業區,農牧用地,1027,臺南市,麻豆區,臺南市麻豆區1027,營後段,122-1,先行區,0.296
31363,DF436201220001,一般農業區,農牧用地,1009,臺南市,麻豆區,臺南市麻豆區1009,營後段,122-1,先行區,1587.366
31364,DF436201220002,一般農業區,農牧用地,1026,臺南市,麻豆區,臺南市麻豆區1026,營後段,122-2,先行區,2620.019
31365,DF436201220002,一般農業區,農牧用地,1009,臺南市,麻豆區,臺南市麻豆區1009,營後段,122-2,先行區,3246.189
31366,DF436201220002,一般農業區,農牧用地,1008,臺南市,麻豆區,臺南市麻豆區1008,營後段,122-2,先行區,349.618
31367,DF436201220002,一般農業區,農牧用地,1026-1,臺南市,麻豆區,臺南市麻豆區1026-1,營後段,122-2,先行區,5.237
31368,DF436201230000,一般農業區,農牧用地,1026-1,臺南市,麻豆區,臺南市麻豆區1026-1,營後段,123,先行區,3732.165
31369,DF436201230000,一般農業區,農牧用地,1008,臺南市,麻豆區,臺南市麻豆區1008,營後段,123,先行區,415.077
31377,DF436201260000,一般農業區,農牧用地,1026-1,臺南市,麻豆區,臺南市麻豆區1026-1,營後段,126,先行區,194.466
31398,DF436201310000,一般農業區,農牧用地,1033,臺南市,麻豆區,臺南市麻豆區1033,營後段,131,先行區,1414.702
31399,DF436201310000,一般農業區,農牧用地,1034,臺南市,麻豆區,臺南市麻豆區1034,營後段,131,先行區,183.828
31454,DF436201400000,一般農業區,農牧用地,1034,臺南市,麻豆區,臺南市麻豆區1034,營後段,140,先行區,1810.848
31459,DF436201410000,一般農業區,農牧用地,1033,臺南市,麻豆區,臺南市麻豆區1033,營後段,141,先行區,58.433
31460,DF436201410000,一般農業區,農牧用地,1034,臺南市,麻豆區,臺南市麻豆區1034,營後段,141,先行區,127.009
31463,DF436201420000,一般農業區,農牧用地,1036,臺南市,麻豆區,臺南市麻豆區1036,營後段,142,先行區,2300.73
31467,DF436201440000,一般農業區,農牧用地,1002,臺南市,麻豆區,臺南市麻豆區1002,營後段,144,先行區,15019.046
31471,DF436201440000,一般農業區,農牧用地,1036,臺南市,麻豆區,臺南市麻豆區1036,營後段,144,先行區,144.128
31496,DF436201510000,一般農業區,農牧用地,1009,臺南市,麻豆區,臺南市麻豆區1009,營後段,151,先行區,361.449
