本資料編號,段號,使用分區,使用地類別,魚塭號,縣市,鄉鎮區,漁編,段名,地號,環社分區,魚塭面積
21295,QB144201960000,一般農業區,農牧用地,583,嘉義縣,布袋鎮,嘉義縣布袋鎮583,上江山段,196,先行區,144.536
21344,QB144200100000,一般農業區,農牧用地,188,嘉義縣,布袋鎮,嘉義縣布袋鎮188,上江山段,10,先行區,2582.76
21345,QB144200100000,一般農業區,農牧用地,187-1,嘉義縣,布袋鎮,嘉義縣布袋鎮187-1,上江山段,10,先行區,832.866
21355,QB144200070000,一般農業區,農牧用地,184,嘉義縣,布袋鎮,嘉義縣布袋鎮184,上江山段,7,先行區,1897.432
21356,QB144200070000,一般農業區,農牧用地,211,嘉義縣,布袋鎮,嘉義縣布袋鎮211,上江山段,7,先行區,1825.984
21815,QB144201800000,一般農業區,農牧用地,608,嘉義縣,布袋鎮,嘉義縣布袋鎮608,上江山段,180,先行區,1811.044
21818,QB144201810000,一般農業區,農牧用地,583,嘉義縣,布袋鎮,嘉義縣布袋鎮583,上江山段,181,先行區,1524.659
21819,QB144201820000,一般農業區,農牧用地,583,嘉義縣,布袋鎮,嘉義縣布袋鎮583,上江山段,182,先行區,2164.878
22458,QB145407810000,一般農業區,農牧用地,1533,嘉義縣,布袋鎮,嘉義縣布袋鎮1533,過溝新段,781,先行區,1046.22
22609,QB145403030000,一般農業區,農牧用地,451-1,嘉義縣,布袋鎮,嘉義縣布袋鎮451-1,過溝新段,303,先行區,2918.8
22615,QB145403060000,一般農業區,農牧用地,451-1,嘉義縣,布袋鎮,嘉義縣布袋鎮451-1,過溝新段,306,先行區,2340.99
22617,QB145403070000,一般農業區,農牧用地,451-1,嘉義縣,布袋鎮,嘉義縣布袋鎮451-1,過溝新段,307,先行區,1.545
22631,QB145407940000,一般農業區,農牧用地,1533,嘉義縣,布袋鎮,嘉義縣布袋鎮1533,過溝新段,794,先行區,48.151
22718,QB145405820000,一般農業區,農牧用地,750,嘉義縣,布袋鎮,嘉義縣布袋鎮750,過溝新段,582,先行區,2500.602
22719,QB145403970000,一般農業區,農牧用地,888,嘉義縣,布袋鎮,嘉義縣布袋鎮888,過溝新段,397,先行區,1832.823
22922,QB145404380000,一般農業區,農牧用地,891-1,嘉義縣,布袋鎮,嘉義縣布袋鎮891-1,過溝新段,438,先行區,1.413
23195,QB144200250000,一般農業區,農牧用地,172,嘉義縣,布袋鎮,嘉義縣布袋鎮172,上江山段,25,先行區,1.256
23504,QB145405830000,一般農業區,農牧用地,753,嘉義縣,布袋鎮,嘉義縣布袋鎮753,過溝新段,583,先行區,47.793
23505,QB145405830000,一般農業區,農牧用地,753,嘉義縣,布袋鎮,嘉義縣布袋鎮753,過溝新段,583,先行區,0.025
23506,QB145405840000,一般農業區,農牧用地,753,嘉義縣,布袋鎮,嘉義縣布袋鎮753,過溝新段,584,先行區,0.001
23508,QB145405840000,一般農業區,農牧用地,753,嘉義縣,布袋鎮,嘉義縣布袋鎮753,過溝新段,584,先行區,21.117
23509,QB145405840000,一般農業區,農牧用地,750,嘉義縣,布袋鎮,嘉義縣布袋鎮750,過溝新段,584,先行區,485.399
23510,QB145405850000,一般農業區,農牧用地,750,嘉義縣,布袋鎮,嘉義縣布袋鎮750,過溝新段,585,先行區,1487.108
23511,QB145405850000,一般農業區,農牧用地,753,嘉義縣,布袋鎮,嘉義縣布袋鎮753,過溝新段,585,先行區,8.754
23515,QB145405930000,一般農業區,農牧用地,760,嘉義縣,布袋鎮,嘉義縣布袋鎮760,過溝新段,593,先行區,553.053
23516,QB145405930000,一般農業區,農牧用地,753,嘉義縣,布袋鎮,嘉義縣布袋鎮753,過溝新段,593,先行區,3361.471
23557,QB145409440000,一般農業區,農牧用地,1402,嘉義縣,布袋鎮,嘉義縣布袋鎮1402,過溝新段,944,先行區,4473.559
23559,QB145409450000,一般農業區,農牧用地,1402,嘉義縣,布袋鎮,嘉義縣布袋鎮1402,過溝新段,945,先行區,0.512
23841,QB144201610000,一般農業區,農牧用地,613-1,嘉義縣,布袋鎮,嘉義縣布袋鎮613-1,上江山段,161,先行區,2738.401
23842,QB144201620000,一般農業區,農牧用地,613,嘉義縣,布袋鎮,嘉義縣布袋鎮613,上江山段,162,先行區,17.534
23843,QB144201620000,一般農業區,農牧用地,613-1,嘉義縣,布袋鎮,嘉義縣布袋鎮613-1,上江山段,162,先行區,1967.262
23844,QB144201630000,一般農業區,農牧用地,613-1,嘉義縣,布袋鎮,嘉義縣布袋鎮613-1,上江山段,163,先行區,437.693
23845,QB144201640000,一般農業區,農牧用地,612,嘉義縣,布袋鎮,嘉義縣布袋鎮612,上江山段,164,先行區,269.593
23846,QB144201650000,一般農業區,農牧用地,568,嘉義縣,布袋鎮,嘉義縣布袋鎮568,上江山段,165,先行區,1.137
23847,QB144201650000,一般農業區,農牧用地,611,嘉義縣,布袋鎮,嘉義縣布袋鎮611,上江山段,165,先行區,39.634
23850,QB144201930000,一般農業區,農牧用地,608,嘉義縣,布袋鎮,嘉義縣布袋鎮608,上江山段,193,先行區,59.699
23852,QB144201940000,一般農業區,農牧用地,583,嘉義縣,布袋鎮,嘉義縣布袋鎮583,上江山段,194,先行區,38.57
23857,QB145408090000,一般農業區,農牧用地,1542,嘉義縣,布袋鎮,嘉義縣布袋鎮1542,過溝新段,809,先行區,149.548
23858,QB145408110000,一般農業區,農牧用地,1542,嘉義縣,布袋鎮,嘉義縣布袋鎮1542,過溝新段,811,先行區,1150.328
23859,QB145408120000,一般農業區,農牧用地,1542,嘉義縣,布袋鎮,嘉義縣布袋鎮1542,過溝新段,812,先行區,1178.268
23861,QB145408140000,一般農業區,農牧用地,1509,嘉義縣,布袋鎮,嘉義縣布袋鎮1509,過溝新段,814,先行區,51.78
23862,QB145408140000,一般農業區,農牧用地,1542,嘉義縣,布袋鎮,嘉義縣布袋鎮1542,過溝新段,814,先行區,438.692
23865,QB145408160000,一般農業區,農牧用地,1509,嘉義縣,布袋鎮,嘉義縣布袋鎮1509,過溝新段,816,先行區,9.819
23995,QB144201860000,一般農業區,農牧用地,613,嘉義縣,布袋鎮,嘉義縣布袋鎮613,上江山段,186,先行區,10.876
23996,QB144201860000,一般農業區,農牧用地,613-1,嘉義縣,布袋鎮,嘉義縣布袋鎮613-1,上江山段,186,先行區,0.103
23998,QB144201900000,一般農業區,農牧用地,604,嘉義縣,布袋鎮,嘉義縣布袋鎮604,上江山段,190,先行區,20.68
23999,QB144201910000,一般農業區,農牧用地,604,嘉義縣,布袋鎮,嘉義縣布袋鎮604,上江山段,191,先行區,160.63
24334,QB144201590000,一般農業區,農牧用地,612,嘉義縣,布袋鎮,嘉義縣布袋鎮612,上江山段,159,先行區,3302.862
24335,QB144201600000,一般農業區,農牧用地,613,嘉義縣,布袋鎮,嘉義縣布袋鎮613,上江山段,160,先行區,2210.733
24336,QB144201600000,一般農業區,農牧用地,613-1,嘉義縣,布袋鎮,嘉義縣布袋鎮613-1,上江山段,160,先行區,53.503
24352,QB144201350000,一般農業區,農牧用地,567,嘉義縣,布袋鎮,嘉義縣布袋鎮567,上江山段,135,先行區,1679.453
24353,QB144201350000,一般農業區,農牧用地,566,嘉義縣,布袋鎮,嘉義縣布袋鎮566,上江山段,135,先行區,185.273
24354,QB144201390000,一般農業區,農牧用地,613,嘉義縣,布袋鎮,嘉義縣布袋鎮613,上江山段,139,先行區,1427.806
24355,QB144201400000,一般農業區,農牧用地,613,嘉義縣,布袋鎮,嘉義縣布袋鎮613,上江山段,140,先行區,566.096
24356,QB144201410000,一般農業區,農牧用地,613,嘉義縣,布袋鎮,嘉義縣布袋鎮613,上江山段,141,先行區,2.959
24357,QB144201420000,一般農業區,農牧用地,613,嘉義縣,布袋鎮,嘉義縣布袋鎮613,上江山段,142,先行區,768.832
24358,QB144201420000,一般農業區,農牧用地,613-1,嘉義縣,布袋鎮,嘉義縣布袋鎮613-1,上江山段,142,先行區,77.52
24646,QB144206710000,一般農業區,農牧用地,1071,嘉義縣,布袋鎮,嘉義縣布袋鎮1071,上江山段,671,先行區,371.779
24647,QB144206710000,一般農業區,農牧用地,1071,嘉義縣,布袋鎮,嘉義縣布袋鎮1071,上江山段,671,先行區,7.617
25009,QB143305140000,一般農業區,農牧用地,1658,嘉義縣,布袋鎮,嘉義縣布袋鎮1658,鹿寮段,514,先行區,9.374
25010,QB143305140000,一般農業區,農牧用地,1658,嘉義縣,布袋鎮,嘉義縣布袋鎮1658,鹿寮段,514,先行區,22.11
25172,QB143500950000,一般農業區,農牧用地,981,嘉義縣,布袋鎮,嘉義縣布袋鎮981,保安宮段,95,先行區,314.004
25684,QB143306030000,一般農業區,農牧用地,1681,嘉義縣,布袋鎮,嘉義縣布袋鎮1681,鹿寮段,603,先行區,48.659
25893,QB143306220000,一般農業區,農牧用地,1645,嘉義縣,布袋鎮,嘉義縣布袋鎮1645,鹿寮段,622,先行區,2898.409
26033,QB143305030000,一般農業區,農牧用地,1657,嘉義縣,布袋鎮,嘉義縣布袋鎮1657,鹿寮段,503,先行區,2.762
26151,QB143301090000,一般農業區,農牧用地,1561,嘉義縣,布袋鎮,嘉義縣布袋鎮1561,鹿寮段,109,先行區,2143.187
26431,QB143307440000,一般農業區,農牧用地,1727,嘉義縣,布袋鎮,嘉義縣布袋鎮1727,鹿寮段,744,先行區,508.877
26468,QB143305470000,一般農業區,農牧用地,1672-1,嘉義縣,布袋鎮,嘉義縣布袋鎮1672-1,鹿寮段,547,先行區,5.265
26469,QB143305480000,一般農業區,農牧用地,1672-2,嘉義縣,布袋鎮,嘉義縣布袋鎮1672-2,鹿寮段,548,先行區,764.949
26470,QB143305480000,一般農業區,農牧用地,1672-1,嘉義縣,布袋鎮,嘉義縣布袋鎮1672-1,鹿寮段,548,先行區,158.367
26471,QB143305490000,一般農業區,農牧用地,1672-1,嘉義縣,布袋鎮,嘉義縣布袋鎮1672-1,鹿寮段,549,先行區,791.422
26472,QB143305490000,一般農業區,農牧用地,1672-2,嘉義縣,布袋鎮,嘉義縣布袋鎮1672-2,鹿寮段,549,先行區,247.629
26649,QB143306680000,一般農業區,農牧用地,914,嘉義縣,布袋鎮,嘉義縣布袋鎮914,鹿寮段,668,先行區,67.145
26928,QB141003220000,一般農業區,農牧用地,973,嘉義縣,布袋鎮,嘉義縣布袋鎮973,考試潭段鹿寮小段,322,先行區,1.972
26929,QB141003220000,一般農業區,農牧用地,974,嘉義縣,布袋鎮,嘉義縣布袋鎮974,考試潭段鹿寮小段,322,先行區,11.395
26940,QB141003120000,一般農業區,農牧用地,973,嘉義縣,布袋鎮,嘉義縣布袋鎮973,考試潭段鹿寮小段,312,先行區,136.895
26941,QB141003120000,一般農業區,農牧用地,974,嘉義縣,布袋鎮,嘉義縣布袋鎮974,考試潭段鹿寮小段,312,先行區,0.001
26942,QB141003130000,一般農業區,農牧用地,906,嘉義縣,布袋鎮,嘉義縣布袋鎮906,考試潭段鹿寮小段,313,先行區,1682.728
26943,QB141003130000,一般農業區,農牧用地,974,嘉義縣,布袋鎮,嘉義縣布袋鎮974,考試潭段鹿寮小段,313,先行區,70.086
26951,QB141003150000,一般農業區,農牧用地,974,嘉義縣,布袋鎮,嘉義縣布袋鎮974,考試潭段鹿寮小段,315,先行區,335.39
26961,QB140906540000,一般農業區,農牧用地,760,嘉義縣,布袋鎮,嘉義縣布袋鎮760,過溝段過溝小段,654,先行區,190.87
26976,QB141005210000,一般農業區,農牧用地,1652,嘉義縣,布袋鎮,嘉義縣布袋鎮1652,考試潭段鹿寮小段,521,先行區,1014.838
27039,QB140711830000,一般農業區,農牧用地,433,嘉義縣,布袋鎮,嘉義縣布袋鎮433,樹林頭段林頭小段,1183,先行區,9091.394
27116,QB140906550000,一般農業區,農牧用地,762,嘉義縣,布袋鎮,嘉義縣布袋鎮762,過溝段過溝小段,655,先行區,1110.472
27117,QB140906550000,一般農業區,農牧用地,760,嘉義縣,布袋鎮,嘉義縣布袋鎮760,過溝段過溝小段,655,先行區,4571.767
27118,QB140906560000,一般農業區,農牧用地,759,嘉義縣,布袋鎮,嘉義縣布袋鎮759,過溝段過溝小段,656,先行區,2.535
27119,QB140906560000,一般農業區,農牧用地,759,嘉義縣,布袋鎮,嘉義縣布袋鎮759,過溝段過溝小段,656,先行區,7.979
27120,QB140906570000,一般農業區,農牧用地,759,嘉義縣,布袋鎮,嘉義縣布袋鎮759,過溝段過溝小段,657,先行區,1525.835
27162,QB141005010000,一般農業區,農牧用地,1509-2,嘉義縣,布袋鎮,嘉義縣布袋鎮1509-2,考試潭段鹿寮小段,501,先行區,1305.68
27163,QB141005020000,一般農業區,農牧用地,1509-1,嘉義縣,布袋鎮,嘉義縣布袋鎮1509-1,考試潭段鹿寮小段,502,先行區,1378.189
27240,QB023701070023,一般農業區,農牧用地,277,嘉義縣,布袋鎮,嘉義縣布袋鎮277,貴舍段,107-23,先行區,176.94
27372,QB023701070039,一般農業區,農牧用地,277,嘉義縣,布袋鎮,嘉義縣布袋鎮277,貴舍段,107-39,先行區,679.228
27391,QB141900930000,一般農業區,農牧用地,423,嘉義縣,東石鄉,嘉義縣東石鄉423,栗子崙段中洲小段,93,先行區,1080.217
27425,QB141901120000,一般農業區,農牧用地,394,嘉義縣,東石鄉,嘉義縣東石鄉394,栗子崙段中洲小段,112,先行區,2424.086
27426,QB141901130000,一般農業區,農牧用地,392-4,嘉義縣,東石鄉,嘉義縣東石鄉392-4,栗子崙段中洲小段,113,先行區,1982.915
27427,QB141901130000,一般農業區,農牧用地,391,嘉義縣,東石鄉,嘉義縣東石鄉391,栗子崙段中洲小段,113,先行區,2601.855
27433,QB141902180000,一般農業區,農牧用地,117,嘉義縣,東石鄉,嘉義縣東石鄉117,栗子崙段中洲小段,218,先行區,1499.912
27434,QB141902190000,一般農業區,農牧用地,117,嘉義縣,東石鄉,嘉義縣東石鄉117,栗子崙段中洲小段,219,先行區,102.537
27437,QB141902190000,一般農業區,農牧用地,118,嘉義縣,東石鄉,嘉義縣東石鄉118,栗子崙段中洲小段,219,先行區,2033.004
27439,QB141902190000,一般農業區,農牧用地,121,嘉義縣,東石鄉,嘉義縣東石鄉121,栗子崙段中洲小段,219,先行區,2011.795
27440,QB141902190000,一般農業區,農牧用地,118-1,嘉義縣,東石鄉,嘉義縣東石鄉118-1,栗子崙段中洲小段,219,先行區,2295.177
27500,QB141901310000,一般農業區,農牧用地,108,嘉義縣,東石鄉,嘉義縣東石鄉108,栗子崙段中洲小段,131,先行區,3002.866
27501,QB141901310000,一般農業區,農牧用地,107,嘉義縣,東石鄉,嘉義縣東石鄉107,栗子崙段中洲小段,131,先行區,3973.375
27503,QB141901320000,一般農業區,農牧用地,107,嘉義縣,東石鄉,嘉義縣東石鄉107,栗子崙段中洲小段,132,先行區,0.007
27504,QB141901320000,一般農業區,農牧用地,107,嘉義縣,東石鄉,嘉義縣東石鄉107,栗子崙段中洲小段,132,先行區,8.917
27513,QB141902140000,一般農業區,農牧用地,102,嘉義縣,東石鄉,嘉義縣東石鄉102,栗子崙段中洲小段,214,先行區,1330.398
27520,QB141902160000,一般農業區,農牧用地,102,嘉義縣,東石鄉,嘉義縣東石鄉102,栗子崙段中洲小段,216,先行區,0.582
29453,QB032005570001,一般農業區,農牧用地,2591,嘉義縣,義竹鄉,嘉義縣義竹鄉2591,龍蛟潭段,557-1,先行區,22.715
29454,QB032005580000,一般農業區,農牧用地,2591,嘉義縣,義竹鄉,嘉義縣義竹鄉2591,龍蛟潭段,558,先行區,1293.301
29455,QB032005580000,一般農業區,農牧用地,2591-1,嘉義縣,義竹鄉,嘉義縣義竹鄉2591-1,龍蛟潭段,558,先行區,356.101
29458,QB032005580007,一般農業區,農牧用地,2591,嘉義縣,義竹鄉,嘉義縣義竹鄉2591,龍蛟潭段,558-7,先行區,55.483
29459,QB032005580007,一般農業區,農牧用地,2591-1,嘉義縣,義竹鄉,嘉義縣義竹鄉2591-1,龍蛟潭段,558-7,先行區,31.225
29460,QB032005580007,一般農業區,農牧用地,2591,嘉義縣,義竹鄉,嘉義縣義竹鄉2591,龍蛟潭段,558-7,先行區,10.506
74892,QB023600030000,一般農業區,農牧用地,6,嘉義縣,布袋鎮,嘉義縣布袋鎮6,樹林頭段樹林小段,3,優先區,4.006
74893,QB023600030000,一般農業區,農牧用地,7,嘉義縣,布袋鎮,嘉義縣布袋鎮7,樹林頭段樹林小段,3,優先區,2877.947
75300,QB141704030000,一般農業區,農牧用地,390,嘉義縣,布袋鎮,嘉義縣布袋鎮390,貴舍段半月小段,403,優先區,2666.999
75304,QB023603710000,一般農業區,農牧用地,1,嘉義縣,布袋鎮,嘉義縣布袋鎮1,樹林頭段樹林小段,371,優先區,4092.719
75305,QB023603710001,一般農業區,農牧用地,1,嘉義縣,布袋鎮,嘉義縣布袋鎮1,樹林頭段樹林小段,371-1,優先區,6.088
75306,QB023603760001,一般農業區,農牧用地,1,嘉義縣,布袋鎮,嘉義縣布袋鎮1,樹林頭段樹林小段,376-1,優先區,2.641
75314,QB023600560000,一般農業區,農牧用地,9,嘉義縣,布袋鎮,嘉義縣布袋鎮9,樹林頭段樹林小段,56,優先區,1182.218
75315,QB023600570000,一般農業區,農牧用地,7,嘉義縣,布袋鎮,嘉義縣布袋鎮7,樹林頭段樹林小段,57,優先區,155.339
75316,QB023600570000,一般農業區,農牧用地,9,嘉義縣,布袋鎮,嘉義縣布袋鎮9,樹林頭段樹林小段,57,優先區,995.198
75519,QB145409940000,一般農業區,農牧用地,1370-1,嘉義縣,布袋鎮,嘉義縣布袋鎮1370-1,過溝新段,994,優先區,2884.369
75647,QB145409810000,一般農業區,農牧用地,1370-1,嘉義縣,布袋鎮,嘉義縣布袋鎮1370-1,過溝新段,981,優先區,0.507
75650,QB145409820000,一般農業區,農牧用地,1370-1,嘉義縣,布袋鎮,嘉義縣布袋鎮1370-1,過溝新段,982,優先區,28.051
75723,QB145411250000,一般農業區,農牧用地,2264,嘉義縣,布袋鎮,嘉義縣布袋鎮2264,過溝新段,1125,關注減緩區,70.595
75724,QB145411280000,一般農業區,農牧用地,2264,嘉義縣,布袋鎮,嘉義縣布袋鎮2264,過溝新段,1128,關注減緩區,40.015
76096,QB145411060000,一般農業區,農牧用地,1326,嘉義縣,布袋鎮,嘉義縣布袋鎮1326,過溝新段,1106,關注減緩區,129.191
76127,QB145408260000,一般農業區,農牧用地,1508,嘉義縣,布袋鎮,嘉義縣布袋鎮1508,過溝新段,826,優先區,567.98
